gene,slope,pval
DDX11L1,-0.08163931414535966,0.2828943406991852
WASH7P,-0.007119077681313757,0.900350300257485
MIR6859-1,-0.018688046317082645,0.17706545153241166
MIR1302-2HG,-0.04248683127695885,0.23720364420207635
FAM138A,-0.03197574667932687,0.36935735143042736
OR4G4P,-0.07787807951838696,0.07576167768470937
OR4G11P,-0.09367032998486485,0.07647256239040483
OR4F5,-0.12909762838018657,0.02958667483110984
RP11-34P13.7,0.3536937324439513,0.009480668173733274
CICP27,0.39291229348622764,0.001463207977973399
RP11-34P13.15,0.1494982602566819,0.0692632052278175
RP11-34P13.16,0.13556281756894895,0.08464441147183785
RP11-34P13.14,0.2546764852775908,0.01778230406103311
RP11-34P13.13,-0.06975473017694611,0.410737875282274
RNU6-1100P,0.009586238772638787,0.6096040470126156
RP11-34P13.9,0.052006825141860585,0.08151847978360499
ABC7-43046700E7.1,-0.0745912478686088,0.5214027563276037
RP11-34P13.18,-0.0824518976514868,0.09576485315132491
MIR6859-2,-0.002100618143465143,0.8380368625616699
AP006222.2,0.2035254914445146,0.07410800578665952
RPL23AP24,0.06386784053871411,0.3508780677515748
RP5-857K21.15,0.0018109666050920396,0.914520474443973
RP4-669L17.2,-0.0716009459031127,0.03662093260093423
RP4-669L17.10,0.01826983461809495,0.8018662956910114
WBP1LP7,0.04109231234243321,0.32720047315814893
OR4F29,0.02062690906155302,0.7117575536447518
CICP7,0.05823228067237978,0.37133864632918456
RP4-669L17.8,0.06411024177984367,0.612598307065521
U6,0.08369198933212432,0.011762177213091035
RP5-857K21.4,-0.03424429019023425,0.6445048119487189
RP5-857K21.2,-0.013175114715640299,0.2716597470359817
MTND1P23,0.030599028401387757,0.8621401237214997
MTND2P28,-0.1034562890060407,0.23040181336675603
MTCO1P12,-0.17534705200751188,0.09360305651383184
MTCO2P12,-0.19406812633258674,0.0354721859792399
MTATP8P1,-0.10497154679545899,0.3029769554675347
MTATP6P1,-0.1787238830928382,0.015371267749722186
MTCO3P12,-0.18195655928982996,0.07611707709109901
WBP1LP6,-0.06278182641289091,0.048633439518328284
OR4F16,-0.02327453113609031,0.6225336015023168
RP11-206L10.17,0.0,nan
CICP3,0.12111501893484411,0.13303252846047592
RP11-206L10.2,0.004946777857222584,0.9381307249346185
RNU6-1199P,0.029750307058822124,0.07557621289664437
RP11-206L10.4,0.040110901732085286,0.3570300990512487
RP11-206L10.9,0.18426063751989508,0.011602679919065004
RP11-206L10.8,0.08542393835188182,0.30051102856534706
FAM87B,0.03733241408784459,0.6533684846696233
LINC01128,-0.07318739238145788,0.25098195859534017
LINC00115,-0.09492268140954754,0.19576307811408222
FAM41C,0.024961858650085163,0.7516227145338339
TUBB8P11,-0.04759260728387905,0.5500572544223863
FAM166AP3,0.0008562949576786192,0.982532388524704
RP11-54O7.16,-0.029693990040340935,0.567315082763681
RP11-54O7.1,0.05442169785412724,0.5086037665401555
RP11-54O7.2,-0.008543406608525941,0.17120278309999915
RP11-54O7.3,0.006309179926183843,0.9349737304134289
SAMD11,-0.07909073906894479,0.3779369737219249
NOC2L,-0.1498417329911637,0.0005408106038234859
